172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAY"
172.21.0.13 - - [10/Jan/2022:19:29:07 +0000] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAa"
172.21.0.13 - - [10/Jan/2022:19:29:08 +0000] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAb"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /js/297.m.51ccf43f.chunk.js HTTP/1.1" 200 - "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAd"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /js/312.m.4922dad8.chunk.js HTTP/1.1" 200 - "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAc"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /images/alm/gitlab.svg HTTP/1.1" 200 1426 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAh"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /images/sonarcloud/analysis/manual.svg HTTP/1.1" 200 1494 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAf"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /images/alm/azure.svg HTTP/1.1" 200 236 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAg"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /images/alm/bitbucket.svg HTTP/1.1" 200 754 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAi"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAe"
172.21.0.13 - - [10/Jan/2022:19:29:14 +0000] "GET /images/alm/github.svg HTTP/1.1" 200 838 "http://sonarqube.local/projects/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAj"
